Name,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,Identifying Number,Accession Number,Donor,Notes
[HyperCard: Quick Reference Guide],Printed Matter,Manual,Quick Reference Guide,Apple Computer,N/A,N/A,Apple Computer,1993,English,HyperCard (Program)--Reference Guide,030-6854-A,2013.07.669,Timothy P. Sweeney,
[HyperCard: Reference],Printed Matter,Manual,Reference,Claris,N/A,N/A,Claris,1990,English,Instructional,N/A,2013.07.638,,
[HyperCard: Script Language Guide],Printed Matter,Manual,Script Language Guide,Claris,N/A,N/A,Claris,1990,English,Instructional,N/A,2013.07.637,,2013.07.678.
[HyperTalk: Beginners Guide to Scripting],Printed Matter,Manual,Beginner’s Guide to Scripting,Claris,N/A,N/A,Addison-Wesley,1989,English,Instructional,U90-614-004A,2013.07.370,Keith Moore,
[IBM - Guide to Operations],Printed Matter,Manual,IBM - Guide to Operations,International Business Machines,N/A,N/A,International Business Machines,1982,English,Operations Guide,6025003,2015.10.08,,Includes software.
[IBM PC Compatible - 384K Multifunction Card (Manual)],Printed Matter,Manual,IBM PC Compatible - 384K Multifunction Card (Manual),N/A,N/A,N/A,N/A,Unknown,English,MFPLUS Utility (Program)--User’s Manual,N/A,2013.10.93,Brad Feld,For use with MFPLUS Utility program.
[IBM PC Compatible - BitCom: A Communications Program for IBM PC - User Manual],Printed Matter,Manual,A Communications Program for IBM PC - User Manual,Everex,N/A,N/A,Everex,1985,English,BitCom (Program)--User’s Manual,MAN-00032-00,2013.10.68,Brad Feld,Original unbound pages in legal folder.
[IBM PC Compatible - MG-200 - Monographics Card - User’s Manual],Printed Matter,Manual,IBM PC Compatible - MG-200 - Monographics Card - User’s Manual,Dell Computer Corporation,N/A,N/A,Dell Computer Corporation,N/A,English,MG-200  (Graphics Card)--User’s Manual,N/A,2013.10.99,Brad Feld,With 1 Parallel Port included.
"[IBM PC DOS: Microsoft Windows, Second Edition]",Printed Matter,Manual,"Microsoft Windows, Second Edition",Suzanne Weixel,Jeannine Freudenberger,N/A,Que Corporation,1995,English,User guide and reference,0-7897-0276-2,2015.10.20,,
[Interfacing and Programming Manual HP 7475A Graphics Plotter],Printed Matter,Manual,Interfacing and Programming Manual HP 7475A Graphics Plotter,Hewlett-Packard Company,N/A,N/A,Hewlett-Packard Company,1984,English,Manual,N/A,2014.10.29,Don Witte,
[Introducing Microsoft Windows 95],Printed Matter,Manual,Introducing Microsoft Windows 95,Microsoft Corporation,N/A,N/A,Microsoft Press,1995,English,Manual,N/A,2015.02.86,Museum of Computer Culture,
[Invoice/Receipt: The Chip Merchant],Printed Matter,Manual,The Chip Merchant,N/A,N/A,N/A,N/A,N/A,English,Receipt,Invoice 456038,2013.07.517,James Vermillion,
[Logitech Mouse/Trackball Setup],Printed Matter,Manual,Logitech Mouse/Trackball Setup,Logitech,,,,,English,Instructional,,2013.07.518,James Vermillion,
Mac OS 8 Installation Manual,Printed Matter,Manual,Mac OS 8 Installation Manual,Apple,N/A,N/A,Apple Computers,1997,English,,,2014.09.23,,
Mac OS 8.5 Installation Manual,Printed Matter,Manual,Mac OS 8.5 Installation Manual,Apple,N/A,N/A,Apple,1998,English,,N/A,2014.09.22,,
"[MacBug for the Merely Geeky, Part One]",Printed Matter,Printed website on loose paper,"MacBug for the Merely Geeky, Part One",Geoff Duncan <geoff@tidbits.com>,N/A,N/A,N/A,2001,English,Programming Guidebook/Game,/db.tidbits.com/getbits.acgi?tbart=05118,2013.07.499,James Vermillion,
[MacComCenter: Fax and Data Communications],Printed Matter,Manual,Fax and Data Communications,"Smith Micro Software, Inc.",N/A,N/A,N/A,1994,English,Manual,N/A,2013.12.64,Patrick Martin and Adam Wilson,American E-mail BBS
[Macintosh - Conflict Catcher 8 - User Guide],Printed Matter,Manual,Macintosh - Conflict Catcher 8 - User Guide,David Pogue,N/A,N/A,Casady & Greene,1998,English,Conflict Catcher (Software)--User Guide,CC8-164-674-24226,2013.07.395,James Vermillion,Includes Quick Reference Guide and Troubleshooting Guide. Conflict Catcher 8 created by Jeffrey Robbin.
[Macintosh - Full Impact],Printed Matter,Manual,Macintosh - Full Impact,Ashton-Tate,N/A,N/A,Ashton-Tate,1990,English,Full Impact (Software)--User’s Manual,N/A,2013.07.858,Timothy P. Sweeney,Binder containing multiple manuals for Full Impact 2.0.
[Macintosh - Habadex for Macintosh],Printed Matter,Manual,Macintosh - Habadex for Macintosh,Haba Systems,N/A,N/A,Haba Systems,1984,English,Habadex (Software)--User’s Guide,N/A,2013.10.98,Brad Feld,Photocopied pages in legal folder.
[Macintosh - Mac OS X Panther v10.3: Installation and Setup Guide],Printed Matter,Manual,Installation and Setup Guide,Apple Computer,N/A,N/A,Apple Computer,2003,English,(Software) User’s Manual,N/A,2014.06.12,John Hopkins,
[Macintosh - MacWrite],Printed Matter,Manual,Macintosh - MacWrite,Pamela Stanton-Wyman and Christopher Espinosa,N/A,N/A,Apple Computer,1984,English,MacWrite (Program)--User’s Manual,030-0688-C,2013.07.630,Brad Feld,2013.12.15.
[Macintosh - Microsoft Multiplan - Electronic Worksheet Program],Printed Matter,Manual,Macintosh - Microsoft Multiplan - Electronic Worksheet Program,Microsoft,N/A,N/A,Microsoft,1984,English,Microsoft Multiplan (Software)--User’s Manual,023-096-001,2013.10.74,Brad Feld,For Apple Macintosh.
[Macintosh (User’s Manual)],Printed Matter,Manual,Macintosh (User’s Manual),Carol Kaehler,N/A,N/A,Apple Computer,1984,English,Macintosh (Computer)--User’s Manual,030-0687-B,2013.07.624,,
[Macintosh Hardware System Update 2.0],Printed Matter,Manual,Macintosh Hardware System Update 2.0,,,,,,English,,,2013.07.511,James Vermillion,please insert the disk Hardware System Update 2.0”
[Macintosh Powerbook User’s Manual],Printed Matter,Manual,Macintosh Powerbook User’s Manual,Apple Computers,Apple Computers,N/A,Apple Computers,1996,English,Reference Manual,030-9034-A,2014.09.2,derek beaulieu,Bundle includes user manual and other original documents
[Macintosh Reference],Printed Matter,Manual,Macintosh Reference,Apple Computer,N/A,N/A,Apple Computer,1990,English,Macintosh (Computer)--Reference Manual,030-4015-B,2013.07.647,,
[Macintosh User’s Guide for Macintosh PowerBook 160 and 180 Computers],Printed Matter,Manual,Macintosh User’s Guide for Macintosh PowerBook 160 and 180 Computers,Apple Computer,N/A,N/A,Apple Computer,1992,English,Macintosh (Computer)--Reference Manual,030-2674-B,2014.07.25,Phil Garcia,
[Macromedia Dreamweaver MX: Getting Started with Dreamweaver MX],Printed Matter,Manual,Getting Started with Dreamweaver MX,Macromedia,N/A,N/A,Macromedia,1997-2002,English,Macromedia Manual,ZDW60M100,2014.06.42,John Hopkins,
[Macromedia Studio MX: Exploring Macromedia Studio MX],Printed Matter,Manual,Exploring Macromedia Studio MX,Macromedia,N/A,N/A,Macromedia,1988-2002,English,Macromedia Manual,zws60m100,2014.06.41,John Hopkins,
[Micro Link (Osborne)],Printed Matter,Manual,Micro Link (Osborne),,,N/A,,,English,Instructional,,2013.07.764,,
[Microsoft COBOL-80 - User’s Guide],Printed Matter,Manual,Microsoft COBOL-80 - User’s Guide,Microsoft,N/A,N/A,Microsoft,1980,English,COBOL-80 (Programming Language)--User’s Guide,8304-401-01,2013.10.42,Brad Feld,Photocopied pages in legal folder.
[Microsoft Excel: Visual Basic User’s Guide],Printed Matter,Manual,Visual Basic User’s Guide,,N/A,N/A,Microsoft Corporation,1993,English,User’s guide,XL57927-0394,2015.10.21,,
[Microsoft GW-BASIC Interpreter - User’s Guide],Printed Matter,Manual,Microsoft GW-BASIC Interpreter - User’s Guide,Microsoft Corporation,N/A,N/A,Microsoft Press,1985,English,User’s Guide and Reference Manual,410130001-320-R01-0686,2015.10.16,,"Spine is cracked, so the front cover is split open."
[Microsoft Macro 80 Guide],Printed Matter,Manual,Microsoft Macro 80 Guide,,,,,,English,,,2013.10.41,Brad Feld,
[Microsoft MS-DOS - User’s Guide],Printed Matter,Manual,Microsoft MS-DOS - User’s Guide,Microsoft Corporation,N/A,N/A,Microsoft Press,1986,English,User’s Guide and Reference Manual,410630001-320-R08-0686,2015.10.15,,
[Microsoft MS-DOS: User’s Guide and User’s Reference],Printed Matter,Manual,User’s Guide and User’s Reference,Microsoft Corporation,N/A,N/A,Microsoft Press,1987,English,User’s Manual,Part No. 036-214-167,2015.11.02,,
[Microsoft MS-DOS Operating System Version 5.0: User’s Guide and Reference],Printed Matter,Manual,User’s Guide and Reference,Microsoft Corporation,N/A,N/A,Microsoft Press,1991,English,Manual,Part No. 07661,2015.11.03,,
[Microsoft MS-DOS 6.22 - User’s Guide],Printed Matter,Manual,Microsoft MS-DOS 6.22 - User’s Guide],Microsoft Corporation,N/A,N/A,Microsoft Press,1994,English,Manual,Document No. MS58574-0594,2015.11.04,,
[Microsoft Office: Getting Started],Printed Matter,Manual,Getting Started,,N/A,N/A,Microsoft Corporation,1992,English,User’s guide and reference,OF64076-0295,2015.10.22,,
[Microsoft QuickBASIC 4.0: BASIC Language Reference],Printed Matter,Manual,BASIC Language Reference,Microsoft Corporation,N/A,N/A,Microsoft Press,1987,English,Learning Guide/Manual,410700002-400-R00-1087,2015.10.12,,
[Microsoft GW-BASIC: User’s Guide and User’s Reference],Printed Matter,Manual,User’s Guide and User’s Reference,Microsoft Corporation,N/A,N/A,Microsoft Corporation,1986,English,User’s Guide/Reference Manuals,410130001-330-R02-0787,2015.10.13,,
[Microsoft QuickBASIC: Programming in BASIC],Printed Matter,Manual,Programming in BASIC,,N/A,N/A,Microsoft Corporation,1987,English,Programming Manual,410700014-450-R01-0988,2015.10.11,,
[Microsoft TASC: The Applesoft Compiler],Printed Matter,Manual,The Applesoft Compiler,,,N/A,,,English,,,2013.10.40,Brad Feld,
[Microsoft Windows Graphical Environment - User’s Guide],Printed Matter,Manual,MicroSoft Windows Graphical Environment - User’s Guide,Microsoft Corporation,N/A,N/A,Microsoft Press,1985,English,Reference Manual,N/A,2014.10.15,Don Witte,
[Microsoft Windows/286 Presentation Manager],Printed Matter,Manual,Microsoft Windows/286 Presentation Manager,Microsoft Corporation,N/A,N/A,Microsoft Press,1987,English,Manual,N/A,2014.09.125,Don Witte,"Includes original box (some tears), software, reference guide, and manual."
[Microsoft Windows Guide to Programming],Printed Matter,Manual,Microsoft Windows Guide to Programming,Microsoft Corporation,N/A,N/A,Microsoft Press,1990,English,Manual,SY03146-300-R001089,2015.11.20,,
[Microsoft Windows Resource Kit: For Operating System Version 3.1],Printed Matter,Manual,For Operating System Version 3.1,Microsoft Corporation,N/A,N/A,Microsoft Press,1992,English,Manual,N/A,2015.11.15,,
[Microsoft Windows User’s Guide],Printed Matter,Manual,Microsoft Windows User’s Guide,Microsoft Corporation,N/A,N/A,Microsoft Press,1987,English,Reference Manual,N/A,2014.10.14,Don Witte,
[Model 353 - Printer - Technical Manual],Printed Matter,Manual,Model 353 - Printer - Technical Manual,Centronics,N/A,N/A,Centronics,May 1982,English,Model 353 (Printer)--Technical Manual,37403530 REV A,2013.10.15,Brad Feld,
[Model PC-8041A Schematic Diagram],Printed Matter,Manual,Model PC-8041A Schematic Diagram,,N/A,N/A,,,English,,,2013.10.52,Brad Feld,
[Motion Works - Add Motion Manual],Printed Matter,Manual,Motion Works - Add Motion Manual,Motion Works USA,Motion Works USA,N/A,Motion Works USA,1992,English,Manual,N/A,2013.12.91,Benjamin Robertson,
[NEC - JC-1215MA 12’’ Color Monitor - Owner’s Manual],Printed Matter,Manual,NEC - JC-1215MA 12’’ Color Monitor - Owner’s Manual,NEC Home Electronics,N/A,N/A,NEC Home Electronics,N/A,English,Monitor--Owner’s Manual,78111013,2013.07.831,Timothy P. Sweeney,
[Notebook w/ Handwritten Game Notes],Printed Matter,Manual,Notebook w/ Handwritten Game Notes,William Waite,NA,NA,NA,NA,English,Personal Notes,NA,2013.12.51,William Waite,Notepad containing handwritten game notes. Jeans logo on cover.
[Osborne 1 User’s Reference Guide],Printed Matter,Manual,Osborne 1 User’s Reference Guide,,,,,,English,Instructional,,2013.07.763,,
[Osborne User’s Guide],Printed Matter,Manual,Osborne User’s Guide,,,,,,English,Instructional,,2013.07.760,,
A Friendly Computer Guide,Printed Matter,Manual,A Friendly Computer Guide,N/A,N/A,N/A,"Commodore International, LTD",1981,English,Reference Manual,N/A,2014.10.26,Don Witte,
[PFS:ACCESS - User’s Manual],Printed Matter,Manual,ACCESS - User’s Manual,Anne B. Long and Barbara Langworthy,N/A,N/A,Software Publishing Corporation,1985,English,ACCESS (Program)--User’s Manual,N/A,2013.10.76,Brad Feld,For selected MS-DOS computers.
[Pocket PCRef - 5th Edition],Printed Matter,Manual,Pocket PCRef - 5th Edition,Thomas J. Glover Millie M Yound,N/A,N/A,Sequoia Publishing,1995,English,Reference Manual,1-885071-04-3,2014.10.08,Don Witte,
[Power Macintosh Overview to System 7.5 - Packet],Printed Matter,Manual,Power Macintosh Overview to System 7.5 - Packet,Apple Computers,N/A,N/A,Apple Computers,1994,English,Instructional,N/A,2014.09.28,,
"[Power Macintosh User’s Guide: Includes Setup, Troubleshooting, and Important Health-Related Information for Power Macintosh 6100 Series Computers]",Printed Matter,Guidebook,"Includes Setup, Troubleshooting, and Important Health-Related Information for Power Macintosh 6100 Series Computers",Apple Computers,,,,,English,Instructional,030-5858-A,2013.07.515,James Vermillion,
"Includes Setup, Troubleshooting, and Important Health-related Information for Power Macintosh 8500 Series Computers",Printed Matter,Manual,"Includes Setup, Troubleshooting, and Important Health-related Information for Power Macintosh 8500 Series Computers",Apple Computers,,,Apple Computers,1996,English,Instructional,,2014.09.25,,
Specifications for Power Macintosh 8500 Series Computers,Printed Matter,Manual,Specifications for Power Macintosh 8500 Series Computers,Apple Computers,,,Apple Computers,1996,English,Instructional,,2014.09.26,,
[Professional Write - User’s Manual],Printed Matter,Manual,Professional Write - User’s Manual,Software Publishing Corporation (SPC),N/A,N/A,Software Publishing Corporation (SPC),1988,English,Professional Write (Software)--User’s Manual,N/A,2014.1.137,Aaron Kuhn,DOS 2.0 Compatible
[Programma International - Software Documentation (Instruction Sheets)],Printed Matter,Manual,Programma International - Software Documentation (Instruction Sheets),"Programma International, Inc.",N/A,N/A,"Programma International, Inc.","1979-80, 1984",English,Software Documentation,N/A,2013.10.95,Brad Feld,"“T.I.E. Fighter Docking” (Craig Crossman, 1980), “Battlestar I” (Richard Kaplan, 1979), “Football” (Harry Tarnoff, 1979), and “Super Star Wars” (Bruce Henderson, 1979). Also includes an instruction sheet for Adventure International’s “The Sorcerer of Claymorgue Castle” (1984)."
Programming the 6502,Printed Matter,Manual,Programming the 6502,Rodnay Zaks,1N/A,N/A,SYBEX Inc,1980,English,Reference Manual,0-89588-046-6,2014.10.11,Don Witte,
[QuickLink II Fax],Printed Matter,Manual,QuickLink II Fax,SmithMicro Software,SmithMicro Software,N/A,N/A,1994,English,User’s Guide,N/A,2013.12.90,Benjamin Robertson,
TRS-80 MC-10 Micro Color Computer Operation and Language Reference Manual,Printed Matter,Manual,TRS-80 MC-10 Micro Color Computer Operation and Language Reference Manual,Tandy Corporation,,,,1982,English,Informational,,2014.09.31,Don Witte,
[Roxio Toast 5 Titanium User’s Guide],Printed Matter,Manual,Roxio Toast 5 Titanium User’s Guide,Roxio,N/A,N/A,Roxio,1994-2002,English,Roxio Manual,150003-02UN,2014.06.35,John Hopkins,
[S-C Macro Assembler],Printed Matter,Manual,S-C Macro Assembler,,,,,,,,,2013.10.80,Brad Feld,
[Scram (A Nuclear Power Plant Simulation)],Printed Matter,Manual,Scram (A Nuclear Power Plant Simulation),Atari,N/A,N/A,Atari,1981,English,Software--Instructional Manual,C015727-23 Rev. 2,2013.07.830,Timothy P. Sweeney,Model CX4123. Use with ATARI 400 or ATARI 800 Personal Computer Systems.
[Series 100/Wordstar Photocopied Manual (Part 1 of 2)],Printed Matter,Manual,Series 100/Wordstar Photocopied Manual,Hewlett Packard,,,,Sept 1983,English,Instructional,Manual Part No. 45400-90001,2013.07.489,Julie Gemmell,Part 1 of 2. Individual papers in manila folders.
[Series 100/Wordstar Photocopied Manual Part (2 of 2)],Printed Matter,Manual,Series 100/Wordstar Photocopied Manual,Hewlett Packard,,,,Sept 1983,English,Instructional,Manual Part No. 45400-90001,2013.07.4,Julie Gemmell,Part 2 of 2. Individual papers in manila folders.
[Smith Corona - Owner’s Manual],Printed Matter,Manual,Smith Corona - Owner’s Manual,Smith Corona,N/A,N/A,Smith Corona,1992,English,Word Processor--Owner’s Manual,00798291,2014.1.239,Keith Moore,
Tandy 600 Owner’s Manual,Printed Matter,Manual, Tandy 600 Owners Manual,N/A,N/A,N/A,Tandy Corporation,1985,English,Manual,N/A,2014.10.35,Don Witte,
[Technical Information: Specifications for the Power Macintosh 6100/66 and the Power Macintosh 6100/66AV],Printed Matter,Manual,Specifications for the Power Macintosh 6100/66 and the Power Macintosh 6100/66AV,Apple Computers,,,,,English,Instructional,030-6551-A,2013.07.516,James Vermillion,
[Telecom Circuits Selection Guide],Printed Matter,Manual,Telecom Circuits Selection Guide,Texas Instruments,N/A,N/A,Texas Instruments,1983,English,Instructional,SCTC001,2014.10.47,,
[Toshiba - Three In-One Printing],Printed Matter,Manual,Toshiba - Three In-One Printing,Toshiba America,N/A,N/A,Toshiba America,N/A,English,Toshiba Printer--Pamphlet,72R120250 B,2013.10.94,Brad Feld,Printed in Japan.
[TRS-80 DMP-2100 Operation Manual],Printed Matter,Manual,TRS-80 DMP-2100 Operation Manual,Tandy Corporation,N/A,N/A,Tandy Corporation,1982,English,Instructional,Cat. No. 26-1256A,2013.12.34,William Waite,
[TRS-80 Model II Assembly Language Development System],Printed Matter,Manual,TRS-80 Model II Assembly Language Development System,Tandy Corporation,N/A,N/A,Tandy Corporation,1982,English,Instructional,Cat. No. 26-4712,2013.12.30,William Waite,Includes an Assembly Language Development System diskette.
[TRS-80 Interfacing],Printed Matter,Manual,TRS-80 Interfacing,Jonathan A. Titus,N/A,N/A,Howard W. Sams & CO.,1980,English,Reference Manual,0-672-21633-7,2014.10.37,Don Witte,
[TRS-80 Model II Computer Graphics (BASIC/Utilities/Subroutines) Manual],Printed Matter,Manual,TRS-80 Model II  Computer Graphics Manual (BASIC/Utilities/Subroutines),Tandy Corporation,N/A,N/A,Tandy Corporation,1981,English,Instructional,Cat. No. 26-4104,2013.12.52,William Waite,Includes a Computer Graphics (BASIC/Utilities/Subroutines) diskette.
[TRS-80 Model II Fortran User’s Manual],Printed Matter,Manual,TRS-80 Model II Fortran User’s Manual,Tandy Corporation,N/A,N/A,Tandy Corporation,1979,English,Instructional,Cat. No. 26-4701,2013.12.33,William Waite,Includes a Fortran diskette.
[TRS-80 Model II Operation Manual],Printed Matter,Manual,TRS-80 Model II Operation Manual,Tandy Corporation,N/A,N/A,Tandy Corporation,1980,English,Instructional,Cat. No. 26-4920,2013.12.39,William Waite,Includes TRSDOS Disk Operating System and BASIC Interpreter diskette.
[TRS-80 Model II Scripsit 2.0 Reference Manual],Printed Matter,Manual,TRS-80 Model II Scripsit Reference Manual,Tandy Corporation,N/A,N/A,Tandy Corporation,1981,English,Instructional,Cat. No. 26-4531,2013.12.37,William Waite,Includes four Model II Scripsit 2.0 Training Program cassette tapes.
[TRS-80 Model II Scripsit 2.0 Reference Manual],Printed Matter,Manual,TRS-80 Model II Scripsit 2.0 Reference Manual,Tandy Corporation,N/A,N/A,Tandy Corporation,1981,English,Instructional,N/A,2013.12.31,William Waite,
[TRS-80 Model II Scripsit Spelling and Hyphenation Dictionary],Printed Matter,Manual,TRS-80 Model II Scripsit Spelling and Hyphenation Dictionary,Tandy Corporation,N/A,N/A,Tandy Corporation,1981,English,Instructional,Cat. No. 26-4534,2013.12.38,William Waite,Includes Scripsit Spelling and Hyphenation Dictionary diskette.
[TRS-80 Model II Statistical Analysis Manual],Printed Matter,Manual,TRS-80 Model II Statistical Analysis Manual,Tandy Corporation,N/A,N/A,Tandy Corporation,1981,English,Instructional,Cat. No. 26-4540,2013.12.36,William Waite,Includes a Statistical Analysis diskette.
[TRS-80 Model II Technical Reference Handbook],Printed Matter,Manual,TRS-80 Model II Technical Reference Handbook,Tandy Corporation,N/A,N/A,Tandy Corporation,1980,English,Instructional,Cat. No. 26-4921,2013.12.32,William Waite,
[UNIX: User’s Manual],Printed Matter,Manual,User’s Manual,The Regents of the University of California,N/A,N/A,USENIX Association,1984,English,Manual,,2015.11.22,,
