Name,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,image,360_image
Zelda II: The Adventure of Link,Software,ROM Cartridge,Game,Action-Adventure,The Adventure of Link,,,,Nintendo EAD,Shigeru Miyamoto,,Nintendo,English,1988,,,,,,,,,,,NES,2013.06.132,2013-05-25,,,,
Super Breakout,Software,ROM Cartridge,Game,Puzzle,Super Breakout,,,,Atari,,,Atari,English,1979,,CXL4006,,,,,,,,,Atari 400 / 800 / XL / XE,2013.07.297,2013-06-02,,Requires paddles to play.,,
Pac-Man (Atari 400/800),Software,ROM Cartridge,Game,Platformer,Pac-Man,,,,Atari,,,Atari,English,1982,,CXL4022,,,,,,,,,Atari 400 / 800 / XL / XE,2013.07.299,2013-05-14,,,,
Eastern Front (1941),Software,ROM Cartridge,Game,Action-Adventure,Eastern Front (1941),,,,Atari,,,Atari,English,1982,,RX8039,,,,,,,,,Atari 400 / 800 / XL / XE,2013.07.300,2013-06-02,,,,
Ms. Pac-Man,Software,ROM Cartridge,Game,Platformer,Ms. Pac-Man,,,,Atari,,,Atari,English,1983,,RX8043,,,,,,,,,Atari 400 / 800 / XL / XE,2013.07.301,2013-06-02,,,,
Kickback,Software,Cassette,Game,Sports,Kickback,,,,Thorn EMI,A. French,,Thorn EMI,English,1982,,THB 12004 N,,,,,,,,,Atari 400 / 800,2013.07.302,2013-06-02,,,,
Cribbage & Dominoes,Software,Cassette,Game,Puzzle,Cribbage & Dominoes,,,,Thorn EMI,J. Smith,,Thorn EMI,English,1982,,THE 11005 N,,,,,,,,,Atari 400 / 800,2013.07.303,2013-06-05,,One game on each side of cassette tape.,,
Flight Landing Simulator,Software,"5.25"" Floppy Disk",Game,Flight Simulator,Flight Landing Simulator,,,,Main Street Publishing,William J. Graham,,Main Street Publishing,English,1981,,90220240,,,,,,,,,Atari 800,2013.07.305,,,User Name listed online differs from product name on case.,,
Microsailing,Software,"5.25"" Floppy Disk",Game,Action-Adventure,Microsailing,,,,Main Street Publishing,Glenn Faden,,Main Street Publishing,English,1981,,90477240,,,,,,,,,Atari 400 / 800,2013.07.306,2013-06-02,,Accurate information about this game is difficult to obtain.,,
Home Financial Decisions,Software,ROM Cartridge,Productivity,Business/Financial,Home Financial Decisions,,,,Texas Instruments,,,Texas Instruments,English,1979,,PHM 3006,,,,,,,,,Texas Instruments TI-99/4A,2013.07.307,,,,,
Hunt the Wumpus,Software,ROM Cartridge,Game,Roguelike,Hunt the Wumpus,,,,Texas Instruments,,,Texas Instruments,English,1980,,PHM 3023,,,,,,,,,Texas Instruments TI-99/4A,2013.07.308,2013-05-30,,,,
Car Wars,Software,ROM Cartridge,Game,Racing,Car Wars,,,,Texas Instruments,,,Texas Instruments,English,1981,,PHM 3054,,,,,,,,,Texas Instruments TI-99/4A,2013.07.309,2103-05-30,,,,
TI Invaders,Software,ROM Cartridge,Game,Shooter,TI Invaders,,,,Texas Instruments,,,Texas Instruments,English,1981,,PHM 3053,,,,,,,,,Texas Instruments TI-99/4A,2013.07.310,2013-05-30,,,,
TI Extended Basic,Software,ROM Cartridge,System Utility,Programming,TI Extended Basic,,,,Texas Instruments,,,Texas Instruments,English,1980,,PHM 3026,,,,,,,,,Texas Instruments TI-99/4A,2013.07.311,,,,,
Tombstone City: In the 21st Century,Software,ROM Cartridge,Game,Action-Adventure,Tombstone City,,,,Texas Instruments,,,Texas Instruments,English,1982,,PHM 3052,,,,,,,,,Texas Instruments TI-99/4A,2013.07.312,2013-05-30,,,,
Avenger,Software,ROM Cartridge,Game,Action-Adventure,Avenger,,,,Commodore International,,,Commodore International,English,1981,,VIC-1901,,,,,,,,,Commodore VIC-20,2013.07.313,2013-06-01,Bill Chapman,,,
Cosmic Cruncher,Software,ROM Cartridge,Game,Action-Adventure,Cosmic Cruncher,,,,Commodore International,,,Commodore International,English,1982,,VIC-1922,,,,,,,,,Commodore VIC-20,2013.07.315,2013-06-01,Bill Chapman,,,
GORF,Software,ROM Cartridge,Game,Action-Adventure,GORF,,,,Commodore International,,,Commodore International,English,1982,,VIC-1923,,,,,,,,,Commodore VIC-20,2013.07.316,2013-06-01,Bill Chapman,,,
Omega Race,Software,ROM Cartridge,Game,Racing,Omega Race,,,,Commodore International,,,Commodore International,English,1982,,VIC-1924,,,,,,,,,Commodore VIC-20,2013.07.318,2013-06-01,Bill Chapman,,,
Pin Ball,Software,ROM Cartridge,Game,Puzzle,Pin Ball,,,,Commodore International,,,Commodore International,English,1981,,VIC-1920,,,,,,,,,Commodore VIC-20,2013.07.319,2013-06-01,Bill Chapman,,,
Poker,Software,ROM Cartridge,Game,Puzzle,Poker,,,,Commodore International,,,Commodore International,English,1981,,VIC-1908,,,,,,,,,Commodore VIC-20,2013.07.320,2013-06-01,Bill Chapman,,,
Road Race,Software,ROM Cartridge,Game,Racing,Road Race,,,,Commodore International,,,Commodore International,English,1982,,VIC-1909,,,,,,,,,Commodore VIC-20,2013.07.321,2013-06-01,Bill Chapman,,,
Super Smash,Software,ROM Cartridge,Game,Action-Adventure,Super Smash,,,,Commodore International,,,Commodore International,English,1982,,VIC-1921,,,,,,,,,Commodore VIC-20,2013.07.322,2013-06-01,Bill Chapman,,,
Synthesound,Software,ROM Cartridge,Creative,Audio Production,Synthesound,,,,Human Engineered Software,T. Dachsel and D. Hassinger,,Human Engineered Software,English,1982,,C306,,,,,,,,,Commodore VIC-20,2013.07.323,,,,,
Home Inventory,Software,Cassette,Productivity,Organizational,Home Inventory,,,,Creative Software,,,Creative Software,English,1981,,VT 1012,,,,,,,,,Commodore VIC-20,2013.07.324,,,,,
The Bard’s Tale II: The Destiny Knight,Software,"3.5"" Floppy Disk",Game,,The Destiny Knight,,,,Interplay Productions,Michael Cranford,,Electronic Arts,English,1986,,1-55543-226-3,,,,,,,,,Amiga,2013.07.325,2103-05-22,,Disk is missing.,,
Castle Master,Software,"3.5"" Floppy Disk",Game,,Castle Master,,,,Incentive Software,,,New Dimension International,English,1990,,,,,,,,,,,Amiga,2013.07.326,2013-05-19,,,,
Crime Does Not Pay,Software,"3.5"" Floppy Disk",Game,,Crime Does Not Pay,,,,Titus Software,Corrine and Alexander Yarmitsky,,Titus Software,"English, German, Spanish, Italian",1991,,,,,,,,,,,Amiga,2013.07.327,2013-05-22,,Back of box is printed in German.,,
Deadline,Software,"3.5"" Floppy Disk",Game,Interactive Fiction,Deadline,,,,INFOCOM,Mick Lowe Design,,Virgin Mastertronic,English,1991,,,,,,,,,,,Amiga,2013.07.328,2013-05-22,,"“The icon(s) have no default tool”. Despite the box indicating Amiga compatibility, the isk is labelled “IBM PC”, which may explain why it doesn’t work.",,
Deja Vu [I]: A Nightmare Comes True!!,Software,"3.5"" Floppy Disk",Game,,A Nightmare Comes True!!,,,,ICOM Simulations,,,Mindscape,English,1987,,0-87085-137-3,,,,,,,,,Amiga,2013.07.329,2013-05-24,,,,
Deja Vu II: Lost in Las Vegas,Software,"3.5"" Floppy Disk",Game,,Lost in Las Vegas,,,,ICOM Simulations,,,Mindscape,English,1988,,0-929528-05-0,,,,,,,,,Amiga,2013.07.330,2013-05-24,,,,
Deluxe Paint IV,Software,"3.5"" Floppy Disk",Creative,Design,Deluxe Paint IV,,,,Electronic Arts,Lee Taran,,Electronic Arts,English,1991,,,,,,,,,,,Amiga,2013.07.331,2013-05-19,,,,
The Faery Tale Adventure,Software,"3.5"" Floppy Disk",Game,,The Faery Tale Adventure,,,,Microillusions,David Joiner,,Microillusions,English,1987,,,,,,,,,,,Amiga,2013.07.332,2013-05-24,,Works but often freezes (“read/write” error).,,
Leather Goddesses of Phobos,Software,"3.5"" Floppy Disk",Game,Interactive Fiction,Leather Goddesses of Phobos,,,,INFOCOM,Steve Meretzky,,Virgin Mastertronic,English,1990,,Part Number (P)89P5088,,,,,,,,,Amiga,2013.07.333,2013-05-19,,,,
Indiana Jones and the Fate of Atlantis,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Indiana Jones and the Fate of Atlantis,,,,LucasArts,Hal Barwood,,LucasArts,English,1992,,,,,,,,,,,Amiga,2013.07.334,2013-05-22,,Not working. The metal slider on the first disc is broken. Do not insert into disk drive or it will get stuck!,,
Keef the Thief,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Keef the Thief,,,,Naughty Dog,Andy Gavin and Jason Rubin,,Electronic Arts,English,1989,,ISBN 1-55543-341-3,,,,,,,,,Amiga,2013.07.335,2013-05-24,,,,
King’s Quest II: Romancing the Throne,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Romancing the Throne,,,,Sierra On-Line,Roberta Williams,,Sierra On-Line,English,1987,,SER 2726289092201332,,,,,,,,,Amiga,2013.07.336,2013-05-19,,,,
King’s Quest III: To Heir is Human,Software,"3.5"" Floppy Disk",Game,Action-Adventure,To Heir is Human,,,,Sierra On-Line,Roberta Williams,,Sierra On-Line,English,1987,,,,,,,,,,,Amiga,2013.07.337,2013-05-14,,,,
The Kristal,Software,"3.5"" Floppy Disk",Game,Action-Adventure,The Kristal,,,,Addictive Games,Fissionchip Software,,Prism Leisure Corporation,"English, French, German",1989,,,,,,,,,,,Amiga,2013.07.338,2013-05-22,,Not working. Begins to load but doesn’t progress past first screen.,,
Kult,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Kult,,,,"Exxos, Ere Informatique",Johan Robson,,Infogrames,"English, French, German",1989,,,,,,,,,,,Amiga,2013.07.339,2013-05-24,,,,
Leisure Suit Larry 2: Larry Goes Looking for Love (In Several Wrong Places),Software,"3.5"" Floppy Disk",Game,Action-Adventure,Larry Goes Looking for Love (In Several Wrong Places),,,,Sierra On-Line,Al Lower,,Sierra On-Line,English,1988,,,,,,,,,,,Amiga,2013.07.340,2013-05-22,,All disks missing from case.,,
The Magnetic Scrolls Collection (Vol. 1),Software,"3.5"" Floppy Disk",Game,Action-Adventure,The Magnetic Scrolls Collection (Vol. 1),,,,,,,,English,,,,,,,,,,,,Amiga,2013.07.341,,,,,
Murder,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Murder,,,,,,,,English,,,,,,,,,,,,Amiga,2013.07.342,,,,,
Omnicron Conspiracy,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Omnicron Conspiracy,,,,,,,,English,,,,,,,,,,,,Amiga,2013.07.343,,,,,
Personal Nightmare,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Personal Nightmare,,,,,,,,English,,,,,,,,,,,,Amiga,2013.07.344,,,,,
Police Quest,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Police Quest,,,,,,,,English,,,,,,,,,,,,Amiga,2013.07.345,,,,,
Police Quest II,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Police Quest II,,,,,,,,English,,,,,,,,,,,,Amiga,2013.07.346,,,,,
Police Quest III,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Police Quest III,,,,,,,,English,,,,,,,,,,,,Amiga,2013.07.347,,,,,
Shadow Sorcerer,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Shadow Sorcerer,,,,,,,,English,,,,,,,,,,,,Amiga,2013.07.348,,,,,
Simon the Sorcerer,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Simon the Sorcerer,,,,,,,,English,,,,,,,,,,,,Amiga,2013.07.349,,,,,
Sorcerer,Software,"3.5"" Floppy Disk",Game,Action-Adventure,Sorcerer,,,,,,,,English,,,,,,,,,,,,Amiga,2013.07.350,,,,,
Zork Zero: The Revenge of Megaboz,Software,"3.5"" Floppy Disk",Game,Interactive Fiction,The Revenge of Megaboz,,,,Infocom,Steve Meretzky,,Infocom,English,1988,,,,,,,,,,,Amiga,2013.07.351,2103-05-19,,,,
Zork II,Software,"3.5"" Floppy Disk",Game,Interactive Fiction,Zork II,,,,Infocom,"Tim Anderson, Marc Blank, Dave Lebling, Bruce Daniels",,Infocom,English,1981,,,,,,,,,,,Amiga,2013.07.352,2103-05-19,,,,
Clowns,Software,ROM Cartridge,Game,Puzzle,Clowns,,,,Bally/Midway,,,Commodore International,English,1983,,,,,,,,,,,Commodore 64,2013.07.398,2013-05-24,,,,
Crisis Mountain,Software,ROM Cartridge,Game,Action-Adventure,Crisis Mountain,,,,Creative Software,David Schroeder,,Creative Software,English,1983,,,,,,,,,,,Commodore 64,2013.07.399,2013-05-16,Aaron Kuhn,Cartridge case is broken so game cannot be played.,,
Epyx Fast Load,Software,ROM Cartridge,System Utility,System Enhancement,Epyx Fast Load,,,,"Epyx, Inc.",Scott Nelson,,"Epyx, Inc.",English,1984,,,,,,,,,,,Commodore 64,2013.07.400,2013-05-24,,,,
Jungle Hunt,Software,ROM Cartridge,Game,Action-Adventure,Jungle Hunt,,,,Taito,Bill Bogenreif,,Atarisoft,English,1983,,,,,,,,,,,Commodore 64,2013.07.401,2013-05-24,,,,
Kickman,Software,ROM Cartridge,Game,Platformer,Kickman,,,,Bally/Midway,,,Commodore International,English,1982,,,,,,,,,,,Commodore 64,2013.07.402,2013-06-05,,,,
Mach128,Software,ROM Cartridge,System Utility,System Enhancement,Mach128,,,,Access Software,,,Access Software,English,1985,,,,,,,,,,,"Commodore 64, Commodore 128",2013.07.403,2013-06-05,,,,
Simons’ BASIC,Software,ROM Cartridge,System Utility,Programming,Simons’ BASIC,,,,D. S. Software,David Simons,,Commodore International,English,1983,,,,,,,,,,,Commodore 64,2013.07.404,2013-05-24,,,,
The Addams Family,Software,Cassette,Game,Action-Adventure,The Addams Family,,,,Ocean Software Limited,,,Ocean Software Limited,"English, French, German",1992,,,,,,,,,,,Commodore 64,2013.07.405,2013-05-16,,,,
American Football,Software,Cassette,Game,Sports,American Football,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.406,2013-05-16,,,,
The Blues Brothers,Software,Cassette,Game,Action-Adventure,The Blues Brothers,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.407,2013-05-16,,,,
BMX Racers,Software,Cassette,Game,Racing,BMX Racers,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.408,2013-05-16,,,,
City Attack,Software,Cassette,Game,Action-Adventure,City Attack,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.409,2013-05-16,,,,
Computer Cluedo,Software,Cassette,Game,Puzzle,Computer Cluedo,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.410,2013-05-16,,,,
F/16 Combat Pilot,Software,Cassette,Game,Simulation,F/16 Combat Pilot,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.411,2013-05-16,,,,
Epyx Action,Software,Cassette,Game,Action-Adventure,Epyx Action,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.412,2013-05-16,,,,
Fleet System 2+,Software,Cassette,Productivity,Business/Financial,Fleet System 2+,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.413,2013-05-16,,,,
Flight Ace,Software,Cassette,Game,Simulation,Flight Ace,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.414,2013-05-16,,,,
HES Writer,Software,ROM Cartridge,Productivity,Word Processing,HES Writer,,,,,Jerry Bailey,,,English,,,,,,,,,,,,Commodore 64,2013.07.415,2013-05-16,,,,
Interdictor Pilot,Software,Cassette,Game,Simulation,Interdictor Pilot,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.416,2013-05-16,,,,
Max Headroom,Software,Cassette,Game,Action-Adventure,Max Headroom,,,,,,,,English,,,,,,,,,,,,"Commodore 64, Commodore 128",2013.07.417,2013-05-16,,,,
The Quest,Software,"5.25"" Floppy Disk",Game,Interactive Fiction,The Quest,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.418,2013-05-16,,,,
Sherlock,Software,Cassette,Game,Interactive Fiction,Sherlock,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.419,2013-05-16,,,,
Slam-Dunk,Software,Cassette,Game,Sports,Slam-Dunk,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.420,2013-05-16,,,,
Star Empire,Software,Cassette,Game,Action-Adventure,Star Empire,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.421,2013-05-16,,,,
The Story So Far,Software,Cassette,Game,Action-Adventure,The Story So Far,,,,,,,,English,,,,,,,,,,,,Commodore 64,2013.07.422,2013-05-16,,,,
Ballyhoo,Software,"5.25"" Floppy Disk",Game,Interactive Fiction,Ballyhoo,,,,Infocom,Jeff O’Neill,,Infocom,English,1986,,ISBN 0-87321-347-5,,,,,,,,,Apple II Series,2013.07.424,2013-05-17,,,,
Beyond Zork,Software,"5.25"" Floppy Disk",Game,Interactive Fiction,Beyond Zork,,,,Infocom,Brian Moriarty,,Infocom,English,1987,,ISBN 0-87321-352-1,,,,,,,,,Apple II Series,2013.07.425,2013-05-17,,,,
TimeOut Ultra Macros,Software,"5.25"" Floppy Disk",System Utility,Programming,TimeOut UltraMacros,,,,Beagle Bros,Randy Brandt,,Beagle Bros,English,1987,,,,,,,,,,,Apple II,2013.07.426,2013-05-17,,,,
CheckIt PRO Deluxe,Software,"3.5"" Floppy Disk",Productivity,Business/Financial,CheckIt PRO Deluxe,,,,TouchStone Software Corporation,,,TouchStone Software Corporation,English,1993,,,,,,,,,,,Windows,2013.07.427,,Aaron Kuhn,,,
Crossword Magic,Software,"5.25"" Floppy Disk",Game,Puzzle,Crossword Magic,,,,The Software Guild,,,The Software Guild,English,1981,,,,,,,,,,,"Apple II, Apple II+, Franklin Ace 1000",2013.07.428,2013-05-17,,,,
Certificate Maker,Software,"5.25"" Floppy Disk",Creative,Design,Certificate Maker,,,,Springboard Software,,,Springboard Software,English,1986,,,,,,,,,,,"Apple II+, IIe, IIc, IIGS",2013.07.429,2013-05-17,,,,
Dollars and $ense,Software,"5.25"" Floppy Disk",Productivity,Business/Financial,Dollars and $ense,,,,Monogram,Frank E. Mullin,,Monogram,English,1984,,,,,,,,,,,Apple IIc,2013.07.430,2013-05-17,,,,
HyperCard,Software,"3.5"" Floppy Disk",Creative,Hypermedia Development,HyperCard,,,,"Apple Computer, Inc.",Bill Atkinson,,"Apple Computer, Inc.",English,1987,,,,,,,,,,,Apple Macintosh & IIGS Computers,2013.07.432,,,Disk missing. Case is one piece of white cardboard with advertising for the product. May have been promotional.,,
Instant Recall,Software,"5.25"" Floppy Disk",Productivity,Data Management,Data Entry Software,,,,Howard W. Sams & Co.,"Charles R. Landers, Jr.",,Howard W. Sams & Co.,English,1983,$29.95,ISBN 0-672-26233-9,,,,,,,,,Apple II Compatible Systems,2013.07.433,2013-05-17,,,,
Megaworks,Software,"5.25"" Floppy Disk",Productivity,Word Processor,Megaworks,,,,Megahaus,,,Megahaus,English,1984,,,,,,,,,,,"Apple IIc, IIe",2013.07.435,2013-05-17,,,,
Adventure,Software,"5.25"" Floppy Disk",Game,Interactive Fiction,Adventure,,,,William Crowther and Don Woods,,,Microsoft Consumer Products,English,1979,,Part No. 20F03,,,,,,,,,Apple II Series,2013.07.436,2013-05-17,,,,
MyMailList,Software,"5.25"" Floppy Disk",Productivity,Data Management,Mail List Management Tool,,,,MySoftware Co.,,,MySoftware Co.,English,1987,,Serial No. 2105-05778,,,,,,,,,Apple II Family,2013.07.437,2013-05-17,,,,
MyLabelMaker,Software,"5.25"" Floppy Disk",Productivity,Word Processing,Freedom Label Making Utility,,,,MySoftware Co.,,,MySoftware Co.,English,,,Serial No. 2205-07852,,,,,,,,,Apple II Family,2013.07.438,2013-05-17,,,,
The Newsroom,Software,"5.25"" Floppy Disk",Creative,Design,The Newsroom,,,,Springboard Software,,,Springboard Software,English,1984,,,,,,,,,,,"Apple II+, IIe, IIc",2013.07.439,2013-05-17,,,,
Pinpoint,Software,"3.5"" Floppy Disk",Productivity,,Pinpoint,,,,,,,,,,,,,,,,,,,,Apple II series,2013.07.440,,,,,
Sideways,Software,"3.5"" Floppy Disk",Productivity,,Sideways,,,,,,,,,,,,,,,,,,,,Apple II,2013.07.441,,,,,
TimeOut: Desktools II,Software,"3.5"" Floppy Disk",Productivity,,Desktools II,,,,,,,,,,,,,,,,,,,,Apple II series,2013.07.443,,,,,
Blue Meanies from Outer Space,Software,Cassette,Game,Action-Adventure,Blue Meanies from Outer Space,,,,Commodore International,,,Commodore International,English,1981,,VT 1005,,,,,,,,,Commodore VIC-20,2013.07.446,,Aaron Kuhn,,,
Expense Calendar,Software,Cassette,Productivity,Business/Financial,Expense Calendar,,,,Commodore International,,,Commodore International,English,1981,,VT 1010,,,,,,,,,Commodore VIC-20,2013.07.447,,,,,
An Introduction to BASIC: Part 1,Software,Cassette,System Utility,Programming,An Introduction to BASIC: Part 1,,,,Commodore International,Andrew Colin,,Commodore International,English,1981,,,,,,,,,,,Commodore VIC-20,2013.07.448,,,,,
Loan / Mortgage Calculator,Software,Cassette,Productivity,Business/Financial,Loan / Mortgage Calculator,,,,Commodore International,,,Commodore International,English,,,VT 1011,,,,,,,,,Commodore VIC-20,2013.07.450,,,,,
Personal Finance,Software,Cassette,Productivity,Business/Financial,Personal Finance,,,,Commodore International,,,Commodore International,English,1981,,VT 1007,,,,,,,,,Commodore VIC-20,2013.07.451,,,,,
