Name,Medium,Type,Format,Intended Compatibility,Product Name,Username,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying Number,Accession Number,Date Tested,Donor,Notes
[Castle Master],Software,Game,3½” Floppy Disk,"Amiga OCS, ECS",Castle Master,Castle Master,Incentive Software,N/A,New Dimension International,English,1990,"Case, Instruction Manual",N/A,N/A,2013.07.326,5/19/2013,,
[Crime Does Not Pay],Software,Game,3½” Floppy Disk,"Amiga OSC, ESC",Crime Does Not Pay,Crime Does Not Pay,Titus Software,Corrine and Alexander Yarmitsky,Titus Software,"English, German, Spanish, Italian",1991,"Case, Instruction Manual",N/A,N/A,2013.07.327,5/22/2013,,Back of box is printed in German.
[Deadline],Software,Interactive Fiction,3½” Floppy Disk,"A500, A1000, A1500, A2000, B2000, A2500, A3000",Deadline,Deadline,INFOCOM,Mick Lowe Design,Virgin Mastertronic,English,1991,"Case, Instruction Manual",N/A,N/A,2013.07.328,5/22/2013,,"“The icon(s) have no default tool”. Despite the box indicating Amiga compatibility, the isk is labelled “IBM PC”, which may explain why it doesn’t work."
[Deja Vu [I]: A Nightmare Comes True!!],Software,Game,3½” Floppy Disk,Amiga 512K,A Nightmare Comes True!!,A Nightmare Comes True!!,ICOM Simulations,N/A,Mindscape,English,1987,"Case, Instruction Manual",N/A,ISBN 0-87085-137-3,2013.07.329,5/24/2013,,
[Deja Vu II: Lost in Las Vegas],Software,Game,3½” Floppy Disk,"Amiga 500, 1000, 2000",Lost in Las Vegas,Lost in Las Vegas,ICOM Simulations,N/A,Mindscape,English,1988,"Case, Instruction Manual",N/A,ISBN 0-929528-05-0,2013.07.330,5/24/2013,,
[Indiana Jones and the Fate of Atlantis],Software,Game,3½” Floppy Disk,"A500, Plus, A600, A1000, A2000 series",Indiana Jones and the Fate of Atlantis,Indiana Jones and the Fate of Atlantis,LucasArts,Hal Barwood,LucasArts,English,1992,"Case, Instruction Manual, 11 Disks",N/A,N/A,2013.07.334,5/22/2013,,Not working. The metal slider on the first disc is broken. Do not insert into disk drive or it will get stuck!
[Keef the Thief],Software,Game,3½” Floppy Disk,"Amiga 500, 1000, 2000, 2500; 512K",Keef the Thief,Keef the Thief,Naughty Dog,Andy Gavin and Jason Rubin,Electronic Arts,English,1989,"Case, Instruction Manual, 2 Disks",N/A,ISBN 1-55543-341-3,2013.07.335,5/24/2013,,
[King’s Quest II: Romancing the Throne],Software,Game,3½” Floppy Disk,Amiga 512K,Romancing the Throne,Romancing the Throne,Sierra On-Line,Roberta Williams,Sierra On-Line,English,1987,"Case, Instruction Manual",N/A,SER 2726289092201332,2013.07.336,5/19/2013,,
[King’s Quest III: To Heir is Human],Software,Game,3½” Floppy Disk,Amiga 512K,To Heir is Human,To Heir is Human,Sierra On-Line,Roberta Williams,Sierra On-Line,English,1987,"Case, Instruction Manual",N/A,N/A,2013.07.337,5/14/2013,,
[Kult],Software,Game,3½” Floppy Disk,"Amiga 500, 1000, 2000",Kult,Kult,"Exxos, Ere Informatique",Johan Robson,Infogrames,"English, French, German",1989,"Case, Instruction Manual",N/A,N/A,2013.07.339,5/24/2013,,
